yrTerm1Convertible.allUpfront,yrTerm1Convertible.noUpfront,yrTerm1Convertible.partialUpfront,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.noUpfront,yrTerm3Standard.partialUpfront,instance_type,on_demand
4.411073,4.726,4.501571,3.835731,4.11,3.913963,2.237062,2.465,2.282362,1.865906,2.144,1.985504,x1.16xlarge,6.669
2.339726,2.507,2.387721,2.032078,2.177,2.073758,1.514422,1.669,1.545641,1.263128,1.451,1.34388,c5d.18xlarge,3.456
1.879795,2.014,1.918018,1.618151,1.734,1.651571,1.262177,1.391,1.28795,1.034741,1.189,1.100419,m5a.16xlarge,2.752
4.089612,4.382,4.17353,3.556279,3.81,3.628384,2.862747,3.155,2.921578,2.274049,2.613,2.419589,r5.metal,6.048
0.076598,0.082,0.078041,0.066438,0.071,0.067904,0.053501,0.059,0.054283,0.042504,0.049,0.045603,r5a.large,0.113
0.071233,0.076,0.072301,0.061872,0.073,0.063215,0.05567,0.066,0.056486,0.038813,,0.04133,c3.large,0.105
5.149315,5.517,5.254169,4.477626,4.797,4.569475,3.432877,3.783,3.502446,2.86328,3.29,3.046021,inf1.24xlarge,7.615
3.678311,3.941,3.753712,3.189269,3.417,3.254169,2.56739,2.829,2.619893,2.039422,2.343,2.169817,r5a.24xlarge,5.424
3.340411,3.579,3.408638,2.90468,3.1122,2.963963,2.425228,2.6727,2.474767,2.022755,2.324,2.151813,g3.16xlarge,4.56
0.1379,0.1478,0.140834,0.119977,0.1285,0.122387,0.091971,0.1013,0.093818,0.076712,0.0881,0.081591,a1.2xlarge,0.204
0.135274,0.145,0.13795,0.118607,0.126,0.120502,0.092428,0.102,0.094146,0.078006,0.089,0.083514,c4.xlarge,0.199
2.206507,2.364,2.251799,1.918721,2.056,1.957995,1.119064,1.233,1.141928,0.933371,1.072,0.992461,x1e.4xlarge,3.336
0.141324,0.151,0.144146,0.121119,0.13,0.123758,0.094292,0.104,0.096097,0.077473,0.089,0.08221,m5ad.xlarge,0.206
7.985274,8.556,8.148087,6.895548,7.388,7.036151,4.93417,5.438,5.034428,4.108333,4.72,4.370274,i3en.24xlarge,10.848
2.629452,2.817,2.683553,2.286187,2.449,2.332438,1.475342,1.626,1.505702,1.228729,1.412,1.307577,c5n.18xlarge,3.888
0.066438,0.0712,0.067804,0.057877,0.062,0.058952,0.045091,0.0497,0.045983,0.037595,0.0432,0.040015,m4.large,0.1
0.027968,0.03,0.028569,0.024315,0.0261,0.024843,0.018721,0.0206,0.019151,0.015639,0.018,0.016633,t3.medium,0.0416
0.682763,0.732,0.696402,0.593721,0.636,0.605968,0.471804,0.52,0.481715,0.393531,0.452,0.418323,h1.4xlarge,0.936
0.551598,0.591,0.562393,0.47968,0.514,0.489749,0.279756,0.308,0.285732,0.233333,0.268,0.248125,x1e.xlarge,0.834
1.471461,1.577,1.501685,1.279452,1.371,1.305854,1.023592,1.128,1.044222,0.818189,0.94,0.870198,g4dn.8xlarge,2.176
0.100799,0.108,0.10237,0.087557,0.094,0.089749,0.06309,0.07,0.064192,0.052511,0.06,0.05593,r5n.large,0.149
0.065868,0.071,0.067562,0.056393,0.06,0.057767,0.044178,0.049,0.045527,0.036111,0.041,0.038216,m5.large,0.096
