yrTerm1Convertible.allUpfront,yrTerm1Convertible.noUpfront,yrTerm1Convertible.partialUpfront,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.noUpfront,yrTerm3Standard.partialUpfront,instance_type,on_demand
0.332763,0.356,0.339749,0.287329,0.308,0.293575,0.205594,0.227,0.209909,0.171195,0.197,0.182058,i3en.xlarge,0.452
0.417694,0.448,0.426128,0.362215,0.388,0.369817,0.269863,0.297,0.275671,0.231621,0.266,0.246212,c5a.4xlarge,0.616
1.839155,1.971,1.876356,1.594635,1.709,1.627584,1.283714,1.415,1.309947,1.019711,1.172,1.08439,r5a.12xlarge,2.712
4.270434,4.575,4.357767,3.697374,3.961,3.772416,2.939384,3.239,2.999696,2.364269,2.716,2.51561,r5ad.24xlarge,6.288
3.707078,3.972,3.782324,3.189269,3.417,3.254169,2.477131,2.73,2.527851,2.039422,2.343,2.169817,m5d.metal,5.424
0.456621,0.489,0.465991,0.397032,0.474,0.405242,0.357344,0.427,0.36491,0.281963,,0.299992,g2.2xlarge,0.65
0.270434,0.29,0.276014,0.237215,0.252,0.242005,0.184817,0.204,0.188292,0.155099,0.177,0.164496,c4.2xlarge,0.398
4.413014,4.728,4.503598,3.837443,4.112,3.915877,2.23809,2.466,2.283895,1.866743,2.145,1.98596,x1e.8xlarge,6.672
0.1129,0.121,0.115648,0.098174,0.105,0.100114,0.070852,0.078,0.072149,0.05917,0.068,0.062469,r5dn.large,0.167
0.526598,0.564,0.537721,0.451598,0.484,0.460365,0.353425,0.389,0.360327,0.288775,0.332,0.307615,m5.4xlarge,0.768
2.71016,2.904,2.765763,2.356735,2.525,2.404397,1.700761,1.874,1.735732,1.420358,1.632,1.511518,r5dn.12xlarge,4.008
0.80605,0.864,0.822187,0.700913,0.751,0.715648,0.504642,0.556,0.514458,0.420167,0.483,0.447516,r5n.4xlarge,1.192
2.731164,2.926,2.786493,2.374886,2.545,2.423644,1.887253,2.08,1.9259,1.574125,1.809,1.674291,h1.16xlarge,3.744
0.252283,0.27,0.257767,0.218721,0.234,0.223644,0.160046,0.176,0.163659,0.133562,0.153,0.142043,z1d.xlarge,0.372
0.903425,0.968,0.921959,0.785616,0.842,0.801799,0.566933,0.625,0.578231,0.47344,0.544,0.503826,r5dn.4xlarge,1.336
1.559817,1.671,1.591776,1.354795,1.452,1.38221,1.009589,1.113,1.030107,0.842085,0.967,0.895907,c5d.12xlarge,2.304
1.560731,1.672,1.592233,1.354795,1.452,1.38221,1.076636,1.186,1.098315,0.866286,0.995,0.921807,r5d.8xlarge,2.304
0.223973,0.2399,0.228569,0.194749,0.2086,0.198615,0.149886,0.1652,0.152984,0.125114,0.1438,0.133153,t3.2xlarge,0.3328
1.670205,1.7895,1.704369,1.452397,1.5561,1.481982,1.212595,1.3363,1.237383,1.011377,1.162,1.075976,g3.8xlarge,2.28
1.235731,1.324,1.260479,1.063128,1.139,1.084352,0.825723,0.91,0.842271,0.679795,0.781,0.723606,m5d.8xlarge,1.808
3.678539,3.941,3.753826,3.179909,3.427,3.244374,2.524505,2.782,2.576014,2.111606,2.419,2.246212,i3.metal,4.992
2.106507,2.257,2.149772,1.806393,1.935,1.843575,1.413699,1.558,1.442271,1.155061,1.327,1.228384,m5.16xlarge,3.072
0.265982,0.285,0.271431,0.231279,0.2478,0.236037,0.180327,0.1987,0.184009,0.150419,0.1728,0.159985,m4.2xlarge,0.4
0.208904,0.224,0.213621,0.18105,0.194,0.184352,0.134932,0.149,0.137836,0.115791,0.133,0.123606,c5a.2xlarge,0.308
3.027283,3.244,3.089521,2.624886,2.812,2.678155,1.92051,2.116,1.959833,1.60293,1.842,1.705626,z1d.metal,4.464
2.64532,2.834,2.699658,2.300228,2.465,2.34763,1.840221,2.028,1.877889,1.470928,1.69,1.564382,g4dn.12xlarge,3.912
0.088927,0.095,0.090434,0.077055,0.083,0.078269,0.061225,0.067,0.06224,0.049239,0.057,0.052218,r5ad.large,0.131
0.681621,0.73,0.695717,0.592694,0.635,0.604397,0.477131,0.526,0.486417,0.378995,0.435,0.403598,r5.4xlarge,1.008
1.480137,1.5859,1.510337,1.279452,1.3709,1.305654,0.953425,1.0507,0.972854,0.818189,0.94,0.870398,c6g.metal,2.176
0.390183,0.418,0.398087,0.338699,0.363,0.345831,0.26914,0.297,0.274329,0.216591,0.249,0.230183,r5d.2xlarge,0.576
0.08516,0.091,0.086493,0.074087,0.079,0.075785,0.059627,0.066,0.060441,0.047374,0.054,0.05019,r5.large,0.126
0.114954,0.123,0.117676,0.099315,0.107,0.101685,0.078881,0.087,0.080259,0.065982,0.076,0.070084,i3.large,0.156
0.126142,0.135,0.128384,0.109361,0.117,0.111822,0.080023,0.088,0.08183,0.066781,0.077,0.07154,z1d.large,0.186
0.423288,0.4535,0.431982,0.360616,0.3864,0.368018,0.290068,0.3197,0.295983,0.233067,0.2678,0.247973,m6g.4xlarge,0.616
3.678539,3.941,3.753826,3.179909,3.427,3.244374,2.524505,2.782,2.576014,2.111606,2.419,2.246212,i3.16xlarge,4.992
1.695776,1.817,1.730183,1.453539,1.557,1.483553,1.131317,1.247,1.154207,0.92949,1.068,0.988406,m5ad.12xlarge,2.472
0.166324,0.178,0.169932,0.143607,0.154,0.146288,0.102778,0.113,0.104435,0.085578,0.098,0.09151,i3en.large,0.226
2.629452,2.817,2.683553,2.286187,2.449,2.332438,1.475342,1.626,1.505702,1.228729,1.412,1.307577,c5n.metal,3.888
1.635502,1.752,1.668475,1.422945,1.696,1.45205,1.28067,1.526,1.306945,0.845091,,0.899047,i2.4xlarge,3.41
0.371005,0.398,0.378269,0.319863,0.343,0.326242,0.2207,0.243,0.225595,0.184094,0.212,0.195907,m5dn.2xlarge,0.544
1.169863,1.253,1.193918,1.016096,1.089,1.036379,0.757192,0.834,0.772339,0.631545,0.726,0.671921,c5d.9xlarge,1.728
0.170434,0.183,0.173986,0.148174,0.159,0.151571,0.119292,0.131,0.121845,0.094749,0.109,0.100419,r5.xlarge,0.252
0.459817,0.493,0.469589,0.397489,0.428,0.405854,0.315563,0.348,0.321997,0.263965,0.302,0.280411,i3.2xlarge,0.624
0.355708,0.381,0.362507,0.309247,0.331,0.315763,0.247412,0.273,0.252256,0.197793,0.227,0.210213,g4dn.xlarge,0.526
1.253196,1.343,1.278384,1.086644,1.164,1.108452,0.809551,0.892,0.826014,0.694863,0.798,0.739597,c5a.12xlarge,1.848
0.097489,0.105,0.099772,0.084703,0.091,0.086151,0.067275,0.074,0.068323,0.054148,0.062,0.057805,r5d.large,0.144
0.83516,0.8948,0.852127,0.726142,0.7781,0.741048,0.606317,0.6682,0.618623,0.50567,0.581,0.537988,g3.4xlarge,1.14
5.420434,5.808,5.531525,4.713356,5.05,4.809795,3.401522,3.749,3.470464,2.840715,3.264,3.022035,r5dn.24xlarge,8.016
2.341096,2.508,2.388406,2.032078,2.177,2.073758,1.614916,1.78,1.647935,1.299467,1.493,1.38221,r5d.12xlarge,3.456
0.451712,0.484,0.460479,0.392808,0.421,0.400457,0.283447,0.312,0.289635,0.23672,0.272,0.251913,r5dn.2xlarge,0.668
1.826598,1.957,1.863963,1.588128,1.896,1.620968,1.4293,1.706,1.458679,1.127854,,1.19997,g2.8xlarge,2.6
0.919635,0.985,0.938178,0.794977,0.857,0.811594,0.631126,0.696,0.643994,0.527892,0.605,0.561784,i3.4xlarge,1.248
0.814155,0.872,0.830411,0.707991,0.759,0.722187,0.566362,0.624,0.577965,0.452702,0.52,0.481791,g4dn.4xlarge,1.204
1.379452,1.478,1.407767,1.199543,1.285,1.223986,0.893645,0.985,0.911936,0.744026,0.855,0.791776,c5.12xlarge,2.04
0.584361,0.626,0.596174,0.507991,0.544,0.518247,0.327854,0.361,0.334275,0.273059,0.314,0.290244,c5n.4xlarge,0.864
0.012671,0.0136,0.013007,0.010959,0.0118,0.011194,0.008486,0.0094,0.008638,0.007078,0.0081,0.007567,t3a.small,0.0188
0.80879,0.867,0.825671,0.705708,0.836,0.720406,0.635122,0.752,0.648451,0.466553,,0.496744,r3.4xlarge,1.33
,,,0.09532,0.112,0.097279,,,,0.058752,,0.062539,m1.large,0.175
,,,0.371575,0.444,0.37921,,,,0.222184,,0.236399,m2.4xlarge,0.98
0.394863,0.423,0.402484,0.343379,0.368,0.350114,0.263204,0.29,0.268285,0.219559,0.252,0.233781,inf1.2xlarge,0.584
1.617466,1.733,1.650228,1.411416,1.672,1.440699,1.270282,1.505,1.296825,0.933067,,0.992489,r3.8xlarge,2.66
8.972374,9.613,9.15574,7.796918,8.354,7.955968,6.513394,7.178,6.646174,3.941476,4.529,4.193537,p3.8xlarge,12.24
,,,0.093037,0.111,0.094995,,,,0.055784,,0.059359,m2.xlarge,0.245
,,,0.076598,0.091,0.078233,,,,0.048858,,0.052011,c1.medium,0.13
0.846575,0.9071,0.863863,0.721233,0.7728,0.736037,0.580137,0.6393,0.592005,0.466134,0.5356,0.495845,m6g.8xlarge,1.232
0.202511,0.217,0.206611,0.176027,0.1886,0.17964,0.135883,0.1498,0.13863,0.11309,0.1299,0.12036,t3a.2xlarge,0.3008
,,,0.308562,0.364,0.314932,,,,0.195548,,0.208043,c1.xlarge,0.52
0.052169,0.056,0.053598,0.04532,0.049,0.046059,0.033714,0.037,0.034199,0.028957,0.033,0.030411,c5a.large,0.077
0.023174,0.0248,0.023558,0.019977,0.0214,0.02036,0.014916,0.0164,0.01521,0.012785,0.0147,0.013611,c6g.medium,0.034
3.121347,3.344,3.18558,2.709475,2.903,2.76442,2.153234,2.373,2.197592,1.73261,1.991,1.843613,r5d.16xlarge,4.608
1.053196,1.128,1.074329,0.903196,0.968,0.921845,0.706849,0.779,0.721654,0.577549,0.664,0.614192,m5.8xlarge,1.536
,,,0.186301,0.222,0.190105,,,,0.111568,,0.118718,m2.2xlarge,0.49
0.711758,0.763,0.726128,0.61621,0.66,0.628384,0.489916,0.54,0.499962,0.394064,0.453,0.419589,r5ad.4xlarge,1.048
0.003196,0.0034,0.003198,0.00274,0.0029,0.00277,0.002131,0.0023,0.002165,0.00175,0.002,0.001851,t3a.nano,0.0047
1.671005,1.79,1.705511,1.448858,1.552,1.478155,1.079376,1.19,1.101723,0.926446,1.064,0.985808,c5a.16xlarge,2.464
2.13516,2.288,2.178384,1.84863,1.981,1.886151,1.469711,1.62,1.499848,1.182154,1.358,1.257805,r5ad.12xlarge,3.144
0.05879,0.063,0.060023,0.050571,0.054,0.051799,0.03946,0.043,0.040129,0.032344,0.037,0.034199,m5a.large,0.086
1.839269,1.971,1.876356,1.589954,1.714,1.622187,1.262253,1.391,1.287988,1.055822,1.21,1.123606,i3.8xlarge,2.496
1.11016,1.1894,1.132838,0.959589,1.0282,0.979212,0.715068,0.788,0.72964,0.613623,0.705,0.652808,c6g.12xlarge,1.632
1.296804,1.389,1.323644,1.119521,1.2,1.142233,0.76503,0.843,0.780335,0.638927,0.734,0.679878,m5n.8xlarge,1.904
2.819635,3.021,2.877584,2.427283,2.601,2.476356,1.893265,2.086,1.931944,1.552131,1.783,1.651609,m5a.24xlarge,4.128
0.003539,0.0037,0.003626,0.003082,0.0033,0.003198,0.002359,0.0026,0.00238,0.001941,0.0022,0.002027,t3.nano,0.0052
0.508447,0.545,0.518475,0.442123,0.474,0.451571,0.353729,0.39,0.360479,0.282763,0.325,0.300419,g4dn.2xlarge,0.752
0.545662,0.5847,0.556825,0.474201,0.508,0.483795,0.382572,0.4216,0.390405,0.303196,0.3484,0.322563,r6g.4xlarge,0.8064
0.540982,0.58,0.552027,0.473288,0.504,0.483553,0.369673,0.407,0.377584,0.310198,0.354,0.329992,c4.4xlarge,0.796
0.006963,0.0075,0.007139,0.00605,0.0065,0.006182,0.00468,0.0052,0.004797,0.003919,0.0045,0.004193,t3.micro,0.0104
0.014041,0.015,0.014292,0.012215,0.013,0.012364,0.009361,0.0103,0.009595,0.007839,0.009,0.008348,t3.small,0.0208
9.579338,10.2636,9.774843,8.330023,8.925,8.5,6.874581,7.5761,7.01482,5.734018,6.588,6.1,f1.16xlarge,13.2
0.055936,0.06,0.057139,0.04863,0.0522,0.049686,0.037481,0.0413,0.038202,0.031279,0.0359,0.033229,t3.large,0.0832
0.006279,0.0068,0.006396,0.005479,0.0059,0.005654,0.004262,0.0047,0.004369,0.003539,0.0041,0.003765,t3a.micro,0.0094
0.740068,0.7929,0.755226,0.639726,0.6854,0.65277,0.476712,0.5254,0.486427,0.409094,0.47,0.435218,c6g.8xlarge,1.088
0.591667,0.634,0.603826,0.514498,0.551,0.525557,0.456469,0.503,0.465915,0.380708,0.437,0.405511,g3s.xlarge,0.75
0.068265,0.0731,0.069617,0.059247,0.0635,0.060451,0.047831,0.0527,0.048791,0.0379,0.0435,0.040367,r6g.large,0.1008
0.275913,0.2956,0.281553,0.239954,0.257,0.244774,0.183942,0.2027,0.187636,0.153425,0.1763,0.163183,a1.4xlarge,0.408
1.197374,1.283,1.221859,1.04121,1.116,1.062279,0.859323,0.947,0.876832,0.716743,0.8235,0.76224,f1.2xlarge,1.65
0.017237,0.0185,0.01759,0.014954,0.0161,0.015348,0.011492,0.0127,0.01176,0.009589,0.011,0.010199,a1.medium,0.0255
0.030822,0.0331,0.031453,0.026826,0.0287,0.027399,0.020928,0.0231,0.021354,0.017428,0.02,0.018585,t2.medium,0.0464
0.034475,0.0369,0.03518,0.030023,0.0321,0.030597,0.022983,0.0253,0.02342,0.019178,0.022,0.020398,a1.large,0.051
0.136416,0.1462,0.139235,0.118493,0.127,0.121002,0.095624,0.1054,0.097582,0.075799,0.0871,0.080635,r6g.xlarge,0.2016
0.101256,0.1085,0.103412,0.088014,0.0943,0.089763,0.06796,0.0749,0.069365,0.056545,0.065,0.060199,t3a.xlarge,0.1504
0.046233,0.0496,0.04723,0.039954,0.0428,0.040834,0.029795,0.0328,0.030383,0.025571,0.0294,0.027184,c6g.large,0.068
,,,0.011758,0.014,0.012078,,,,0.008257,,0.008805,t1.micro,0.02
0.105822,0.1134,0.107995,0.090183,0.0966,0.092005,0.072527,0.0799,0.073986,0.058257,0.0669,0.061974,m6g.xlarge,0.154
1.269863,1.3606,1.295845,1.081963,1.1592,1.103941,0.870205,0.959,0.887988,0.699201,0.8033,0.743818,m6g.12xlarge,1.848
0.052968,0.0567,0.053941,0.045091,0.0483,0.045945,0.036263,0.04,0.036993,0.029148,0.0335,0.030987,m6g.large,0.077
0.003881,0.0041,0.003941,0.003311,0.0036,0.003412,0.002626,0.0029,0.002632,0.002169,0.0025,0.002342,t2.nano,0.0058
0.050685,0.0542,0.051599,0.04395,0.0471,0.044889,0.03398,0.0374,0.034652,0.028272,0.0325,0.03003,t3a.large,0.0752
